,combination,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Label,n_element
346,CrCuMoTi,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,not_HEA,4
347,CrCuPdRh,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,HEA,4
348,CrFeMnNi,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,HEA,4
349,CrFeMnTi,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,not_HEA,4
350,CrFeMoNb,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,HEA,4
351,CrFeNbTi,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,not_HEA,4
352,CrFeNiPd,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,HEA,4
353,CrFeTiV,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,not_HEA,4
354,CrMnMoV,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,HEA,4
355,CrMnNbNi,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,HEA,4
356,CrMnNbTi,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,HEA,4
357,CrMnNbZr,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,not_HEA,4
358,CrMnTiV,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HEA,4
359,CrMoNbV,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,HEA,4
360,CrMoTiZr,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,HEA,4
361,CrNbVZr,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,not_HEA,4
362,CrNiPdRu,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,HEA,4
363,CrTiVZr,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,HEA,4
364,CuFeMnTi,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,not_HEA,4
365,CuFeMoV,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,HEA,4
366,CuFeNbV,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,HEA,4
367,CuFePdRu,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,HEA,4
368,CuPdRhRu,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,HEA,4
369,FeMnNbTi,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,not_HEA,4
370,FeMoNbTi,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,not_HEA,4
371,FeMoNiPd,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,HEA,4
372,MnMoNbV,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,HEA,4
373,MnMoNiV,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,HEA,4
374,MnMoTiZr,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,HEA,4
375,MnNbVZr,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,HEA,4
376,MnTiVZr,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,not_HEA,4
377,MoNbNiV,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,HEA,4
378,MoNbTiZr,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,HEA,4
379,MoNiPdRu,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,HEA,4
380,NbPdRhRu,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,not_HEA,4
