,combination,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Label,n_element
141,CrCuRh,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,not_HEA,3
142,CrFeMn,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,HEA,3
143,CrFeNb,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,not_HEA,3
144,CrFeRh,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,HEA,3
145,CrFeTi,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,not_HEA,3
146,CrMnMo,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,HEA,3
147,CrMnNi,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,not_HEA,3
148,CrMnV,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HEA,3
149,CrMoNb,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,HEA,3
150,CrMoTi,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,HEA,3
151,CrNbV,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,HEA,3
152,CrNbZr,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,not_HEA,3
153,CrTiV,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,HEA,3
154,CrTiZr,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,not_HEA,3
155,CuFeNi,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,HEA,3
156,CuFeRh,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,HEA,3
157,CuNiPd,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,HEA,3
158,CuNiRh,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,HEA,3
159,CuNiV,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,HEA,3
160,CuPdRh,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,HEA,3
161,CuPdV,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,HEA,3
162,CuTiV,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,not_HEA,3
163,FeMnMo,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,not_HEA,3
164,FeMnNi,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,HEA,3
165,FeMnV,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,HEA,3
166,FeMoNi,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,HEA,3
167,FeMoRh,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,HEA,3
168,FeMoTi,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,not_HEA,3
169,FeNbTi,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,not_HEA,3
170,FeNiRh,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,HEA,3
171,FeTiV,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,not_HEA,3
172,MnMoNb,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,HEA,3
173,MnMoTi,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,not_HEA,3
174,MnNbTi,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,not_HEA,3
175,MnTiV,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,not_HEA,3
176,MoNbTi,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,HEA,3
177,MoNiPd,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,not_HEA,3
178,MoNiRh,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,HEA,3
179,MoPdRh,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,HEA,3
180,MoTcTi,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,HEA,3
181,NbTcV,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,HEA,3
182,NbTiV,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,HEA,3
183,NbTiZr,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,HEA,3
