key,atom,cluster0,cluster1,cluster2,cluster3
1D-000,0,1.1739497657427378e-31,3.4491474795616533e-35,0.9999999975547595,2.445240342796227e-09
1D-000,1,0.999997289971692,2.7100283083441292e-06,1.644990532319663e-30,5.322724156191639e-30
1D-000,2,0.9999972967752571,2.703224742741035e-06,1.6499545285356018e-30,5.327386713223279e-30
1D-000,3,0.9999995052444193,4.947555809011044e-07,2.091743826657898e-31,7.037070598960181e-31
1D-000,4,0.9999995032614678,4.967385320690002e-07,2.060863949299472e-31,6.984954460474847e-31
1D-000,5,0.9999991165848167,8.834151830463828e-07,2.6121138914387713e-30,4.536061101353188e-30
1D-000,6,0.9999991201735214,8.798264781925329e-07,2.6555508615002193e-30,4.574524268250925e-30
1D-000,7,1.161013350109826e-31,3.421841274361576e-35,0.9999999975524942,2.447505943434038e-09
1D-001,0,0.999999927994362,7.200563815763847e-08,6.987346507554554e-26,1.0113550259374444e-27
1D-001,1,0.9999999275962823,7.240371765263098e-08,6.902177627544915e-26,1.0054993575941215e-27
1D-001,2,0.9999999277634579,7.223654205220506e-08,6.870737375302246e-26,1.001692007156446e-27
1D-001,3,0.9999999275705198,7.242948004531846e-08,6.855309729614757e-26,1.001246941883846e-27
1D-001,4,0.9999999277394025,7.226059706671308e-08,6.887753786948871e-26,1.003408004433895e-27
1D-001,5,0.9999999277239002,7.227609959318155e-08,6.975993269827575e-26,1.0117176050209925e-27
1D-001,6,0.9999999276483829,7.235161734294671e-08,6.91113337666848e-26,1.0060653711771679e-27
1D-001,7,0.999999927597341,7.240265925301836e-08,6.886829290051385e-26,1.0040588545536409e-27
1D-002,0,0.9999999034159066,9.658409362924548e-08,3.5632732253858567e-28,3.783909063668778e-29
1D-002,1,0.9999999039166829,9.608331719819566e-08,3.659866825087008e-28,3.840825233216236e-29
1D-002,2,0.9999999037733505,9.62266496608421e-08,3.5618659924909973e-28,3.77620673399834e-29
1D-002,3,0.9999999030774378,9.692256184807962e-08,3.535998484300669e-28,3.771343424620176e-29
1D-002,4,0.99999990401383,9.598617023433364e-08,3.6270938880701125e-28,3.8165298757010403e-29
1D-002,5,0.9999999037596876,9.624031214012137e-08,3.624588460454851e-28,3.8196569828418605e-29
1D-002,6,0.9999999032147147,9.678528530644498e-08,3.5178905064773013e-28,3.7561954531795743e-29
1D-002,7,0.9999999035107054,9.648929421539191e-08,3.567304177430149e-28,3.7849124767965686e-29
1D-003,0,0.9999997633289266,2.3667107338564485e-07,1.2252254064334127e-30,1.488241846483305e-30
1D-003,1,0.9999995300318613,4.699681387406372e-07,9.790963058524612e-29,3.2873142254717576e-29
1D-003,2,6.815274316274753e-39,3.7333745431683785e-40,0.9999999843215083,1.567849175669737e-08
1D-003,3,7.683755027483065e-32,3.7369196728378713e-35,0.9999999952302838,4.769716167214458e-09
1D-003,4,7.64574888200688e-32,3.7252552943274885e-35,0.9999999952248864,4.7751138166475306e-09
1D-003,5,0.9999995238663631,4.761336369504206e-07,9.42247846562565e-29,3.2264342979111046e-29
1D-003,6,6.815274316275333e-39,3.7333745431684846e-40,0.9999999843215083,1.5678491756697202e-08
1D-003,7,0.9999997606090159,2.3939098395689947e-07,1.1732437313224354e-30,1.4557908775184136e-30
1D-004,0,3.910933976595113e-42,4.293604539174306e-42,0.9999999021276403,9.787235953643962e-08
1D-004,1,0.9999996151866378,3.848133623895257e-07,2.3306757546497873e-28,5.208276507944656e-29
1D-004,2,0.9999997885491477,2.1145085242713494e-07,2.074182146985761e-30,1.9734998572259438e-30
1D-004,3,6.71929667415503e-32,3.694002542946767e-35,0.9999999944829696,5.517030416155462e-09
1D-004,4,3.910933976595113e-42,4.293604539174306e-42,0.9999999021276403,9.787235953643962e-08
1D-004,5,0.9999995961845938,4.0381540608412147e-07,2.0354653511327664e-28,4.8773217780703887e-29
1D-004,6,6.852406709877917e-32,3.743842798331095e-35,0.9999999944986468,5.501352935269738e-09
1D-004,7,0.9999997815444174,2.184555827889011e-07,1.815629870080825e-30,1.8415029200076635e-30
1D-005,0,7.422041108225725e-32,3.668823780377925e-35,0.9999999951660099,4.83399039294671e-09
1D-005,1,0.9999995360373327,4.639626668698647e-07,1.0408545347894636e-28,3.3970656533642195e-29
1D-005,2,3.090157433702429e-39,2.296616910298568e-40,0.9999999812887845,1.871121524513952e-08
1D-005,3,0.9999997659290186,2.340709817109335e-07,1.2836149343975466e-30,1.5249162549915147e-30
1D-005,4,0.9999997658236425,2.3417635750455782e-07,1.2811558634008953e-30,1.5233837358611756e-30
1D-005,5,0.9999995361437534,4.638562470511493e-07,1.0403045081007192e-28,3.395660666464736e-29
1D-005,6,3.090157433702429e-39,2.296616910298568e-40,0.9999999812887845,1.871121524513952e-08
1D-005,7,7.400887726302196e-32,3.6618689092485967e-35,0.9999999951636136,4.83638621267024e-09
1D-006,0,9.595011703958935e-36,7.477152063349751e-38,0.9999999860012238,1.3998776121413529e-08
1D-006,1,0.9999992511304308,7.488695694660586e-07,3.794866931944292e-30,5.325484352475144e-30
1D-006,2,9.621466067906722e-36,7.480229137670063e-38,0.9999999860413872,1.3958612729408238e-08
1D-006,3,0.9999992480291068,7.519708934736965e-07,3.741645739389146e-30,5.288450882182141e-30
1D-006,4,9.574868084603591e-36,7.46818323085491e-38,0.9999999859919725,1.4008027322197308e-08
1D-006,5,0.9999992496908358,7.503091641716066e-07,3.7829160899459405e-30,5.3194557048396094e-30
1D-006,6,9.566809514970936e-36,7.458817539668528e-38,0.9999999860070049,1.3992995223121718e-08
1D-006,7,0.9999992475620318,7.524379676873134e-07,3.735151963278984e-30,5.2841684721637876e-30
1D-007,0,0.9999940476718652,5.952328135224065e-06,6.416612403312533e-32,1.054676603870041e-30
1D-007,1,0.9999968159469843,3.1840530153269984e-06,1.1667043032366096e-31,1.1702954782864615e-30
1D-007,2,2.23021421354293e-126,1.7063326090634246e-87,1.7993522751233211e-25,1.0
1D-007,3,0.9999967980404817,3.201959517757246e-06,1.155170541823356e-31,1.1660385933092455e-30
1D-007,4,0.9999940501491354,5.949850864324435e-06,6.445529636610984e-32,1.0572999310957316e-30
1D-007,5,0.9999973093261373,2.69067386257014e-06,6.005050583954001e-32,7.2932205867429e-31
1D-007,6,2.285184748051078e-126,1.7283788795999285e-87,1.8163116341723947e-25,1.0
1D-007,7,0.999997304643452,2.695356548292766e-06,5.945045495782577e-32,7.2544124662981165e-31
1D-008,0,7.532119922618994e-33,8.006695090249981e-35,0.999999828759667,1.712403333045249e-07
1D-008,1,6.1110763741955836e-33,2.6331247825020724e-36,0.9999999986854462,1.3145538449495977e-09
1D-008,2,0.9999998595581757,1.404418247049481e-07,1.0282600936213878e-29,4.5125326083655485e-30
1D-008,3,8.202670805761302e-32,3.634117802278661e-35,0.9999999957917121,4.208287612775436e-09
1D-008,4,8.762061319879743e-33,6.945092515760717e-35,0.9999998768694898,1.2313051014485625e-07
1D-008,5,0.999998379032233,1.6209677666529152e-06,7.933425416249995e-32,6.87752931465857e-31
1D-008,6,0.9999958929369414,4.107063058620526e-06,1.1989613931527393e-29,1.9361832180885255e-29
1D-008,7,0.9999997040887527,2.959112471585644e-07,6.2780853625672555e-31,1.0873065086635204e-30
1D-009,0,5.346855932131155e-37,9.000814141206611e-39,0.9999999849274835,1.507251655475067e-08
1D-009,1,5.35828646994269e-37,9.012907827590258e-39,0.9999999849341755,1.5065824264061083e-08
1D-009,2,5.346307912058298e-37,9.000234067871122e-39,0.999999984927162,1.5072837779365976e-08
1D-009,3,5.354436432437287e-37,9.008835477196603e-39,0.9999999849319235,1.5068076388926875e-08
1D-009,4,5.356393734088483e-37,9.010905957719301e-39,0.9999999849330689,1.506693126919408e-08
1D-009,5,5.344967120833871e-37,8.998814809306762e-39,0.999999984926376,1.5073624002432344e-08
1D-009,6,5.351973450258064e-37,9.006229713494523e-39,0.999999984930482,1.506951818216261e-08
1D-009,7,5.3438486437306345e-37,8.997630782704093e-39,0.9999999849257201,1.5074280069628765e-08
1D-010,0,1.0425708426607393e-32,2.1914915157518024e-35,0.9999999778517978,2.2148202113189846e-08
1D-010,1,0.9999999705580058,2.9441994365329566e-08,1.9276807049582838e-25,1.3643168437618841e-27
1D-010,2,7.806088546823743e-31,1.701992263478689e-33,0.9999999321619565,6.783804351702769e-08
1D-010,3,0.9999994757041601,5.24295839624479e-07,2.153188331829061e-29,1.3449216294257497e-29
1D-010,4,0.999999822127515,1.7787248485240237e-07,1.5062246970424364e-28,2.881186025659138e-29
1D-010,5,0.9999992165728488,7.834271516479573e-07,4.3480802671577684e-26,1.4697309779218795e-27
1D-010,6,0.9999998752368897,1.247631099851001e-07,3.5412668995762077e-26,7.991794920223963e-28
1D-010,7,0.9999995012539049,4.987460950096192e-07,2.5798473959978967e-29,1.4740894746455877e-29
1D-011,0,0.9999999332992435,6.670075647026144e-08,7.8205249344456255e-28,5.285683749065218e-29
1D-011,1,3.3916326034466277e-34,5.40456500724688e-37,0.9999999959920247,4.007975303620646e-09
1D-011,2,1.5498981160043804e-35,1.4625726766991768e-37,0.9999999765560548,2.3443945649109862e-08
1D-011,3,3.2861919375453042e-34,5.294886537495665e-37,0.9999999959683166,4.03168341791958e-09
1D-011,4,1.5581840136286646e-35,1.4676486230868793e-37,0.999999976578761,2.3421238793023905e-08
1D-011,5,3.311357061276391e-34,5.336937701952691e-37,0.9999999959520882,4.0479118374260475e-09
1D-011,6,0.999999933251202,6.674879788382565e-08,7.817310596330889e-28,5.286136758705409e-29
1D-011,7,3.3966680936337673e-34,5.4219521234510165e-37,0.9999999959765238,4.023476249593409e-09
1D-012,0,0.9999999909568817,1.5991685471207314e-10,8.883201622354426e-09,1.568840048564199e-16
1D-012,1,0.9999992915568705,7.084431299117637e-07,8.743166607580381e-30,8.714550837047593e-30
1D-012,2,0.9999996898979867,3.101020132542924e-07,5.312788514673627e-31,1.0007070003413141e-30
1D-012,3,7.613111013995903e-34,1.0136634625427847e-35,0.9999998683194422,1.3168055805931071e-07
1D-012,4,1.2836365929827055e-30,4.557080112185075e-34,0.999999992585205,7.414794690962198e-09
1D-012,5,0.9999998567927908,1.432072094536853e-07,2.25933087089183e-26,6.315145930835088e-28
1D-012,6,1.3262319616688672e-31,4.147683836169714e-35,0.9999999971501032,2.8498966441514782e-09
1D-012,7,7.258973389061162e-07,0.999999274102661,2.5973087530601108e-62,6.940536730156053e-44
1D-013,0,3.0778178530176068e-30,1.7715311677525263e-32,0.9999997414067422,2.5859325783350953e-07
1D-013,1,3.3568220001105136e-30,1.9395561895404703e-32,0.9999997368891567,2.6311084330338054e-07
1D-013,2,2.9168391041887165e-30,1.6754971668569296e-32,0.9999997440788843,2.559211157250985e-07
1D-013,3,2.6809216331260432e-30,1.534337143023192e-32,0.9999997483789659,2.516210341291326e-07
1D-013,4,3.0853760166940615e-30,1.776045573457206e-32,0.9999997412842218,2.587157783424791e-07
1D-013,5,3.3409241155313976e-30,1.9300038625271822e-32,0.9999997371318522,2.6286814779139773e-07
1D-013,6,2.9163686232483456e-30,1.6752174609384444e-32,0.9999997440867711,2.5591322890748154e-07
1D-013,7,2.687554618716889e-30,1.538276365515473e-32,0.9999997482575834,2.517424165495677e-07
1D-014,0,9.280043378923667e-33,4.430404006177573e-35,0.9999999346557579,6.534424228927729e-08
1D-014,1,9.289597150900458e-33,4.435171059930597e-35,0.9999999346347036,6.536529655865508e-08
1D-014,2,9.28520100912469e-33,4.433065590675215e-35,0.999999934642695,6.535730512747031e-08
1D-014,3,9.285148260124079e-33,4.4329950172250803e-35,0.9999999346436622,6.535633774567009e-08
1D-014,4,9.275739103573168e-33,4.4283273184429234e-35,0.9999999346638829,6.533611687263216e-08
1D-014,5,9.278136521457828e-33,4.429474675295136e-35,0.9999999346595366,6.534046350592242e-08
1D-014,6,9.286360169300253e-33,4.433646332524388e-35,0.9999999346400953,6.535990450966947e-08
1D-014,7,9.276838443465369e-33,4.4287975305950563e-35,0.9999999346629659,6.533703404926778e-08
1D-015,0,1.4562429628642562e-33,8.31791459405027e-37,0.9999999988992232,1.100776836259985e-09
1D-015,1,0.9999975139271869,2.4860728132109474e-06,8.343501516479453e-32,8.602827170405678e-31
