key,a0.70_rp2.40,a0.70_rp3.00,a0.70_rp3.60,a0.70_rp4.20,a0.70_rp4.80,a0.70_rp5.40,hist1,hist2,hist3,hist4,hist5,hist6,hist7,hist8,hist9,hist10,hist11,hist12,hist13,hist14,hist15,hist16,hist17,hist18,hist19,hist20,polytype,id
Fe-bcc_13,7.204939816319689,6.293109479076655,3.7351474746507227,4.60063827992872,3.9618976610629066,1.4627568204526629,5.25,2.75,3.5,2.5,0.0,0.0,0.0,0.0,2.625,7.375,2.0,1.5,3.625,19.0,4.625,3.25,0.0,2.0,2.0,3.5,Fe-bcc,13
Fe-bcc_14,6.852332332663226,6.386935289337158,3.408789113967055,4.063944014704944,3.7723546834154043,1.573289343572804,6.75,1.25,2.0,4.0,0.0,0.0,0.0,0.0,0.0,10.375,1.625,0.0,0.0,22.375,7.0,2.625,0.0,0.0,2.0,4.0,Fe-bcc,14
Fe-fcc_13,6.564789878447902,6.069714923429092,3.479123564462485,3.93965749370044,3.3793981471779344,1.2125733254324493,0.0,12.0,0.0,0.0,0.0,0.0,0.0,5.875,0.125,0.0,0.0,8.5,15.1875,0.3125,0.0,4.0,8.0,0.0,4.0,15.75,Fe-fcc,13
Fe-fcc_14,6.235189462975201,6.1519180720016085,3.3395522292802378,3.57371947291554,3.250915036885159,1.2330669713356817,0.0,10.125,1.875,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,3.625,15.5625,4.8125,0.0,2.0,7.4375,2.5625,1.375,14.0,Fe-fcc,14
Fe-hcp_13,7.848962589293105,5.910707890723636,4.778196621370647,5.774419320408357,3.92639814753508,1.26365273288549,9.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,7.875,9.125,4.0,6.0,6.0,0.0,3.0,8.0,5.0,7.875,Fe-hcp,13
Fe-hcp_14,7.8030600381546105,5.8825705376461865,4.706696605625815,5.67635274755826,3.9741571909441156,1.2231147426300537,9.875,2.0,0.0,0.0,0.0,1.625,4.375,0.0,2.0,2.0,8.0,8.0,8.75,3.25,4.0,2.0,2.375,4.375,7.5,11.125,Fe-hcp,14
