,liquid_range,molar_volume,critical_temperature,boiling_point,melting_point,velocity_of_sound,log10_thermal_conductivity,X,mineral_hardness,density_of_solid,rigidity_modulus,bulk_modulus,youngs_modulus,log10_electrical_resistivity,log10_coefficient_of_linear_thermal_expansion,poissons_ratio,brinell_hardness,superconduction_temperature,log10_vickers_hardness,reflectivity
Nd,2076.0,20.59,,3373.0,1297.0,2330.0,1.2304489213782739,1.14,,6800.0,16.0,32.0,41.0,-6.191789027075778,-5.017728766960431,0.28,265.0,,2.5352941200427703,
Pm,1900.0,20.23,,3273.0,1373.0,,1.1760912590556813,1.13,,7264.0,18.0,33.0,46.0,-6.1249387366083,-4.958607314841775,0.28,,,,
Sm,731.0,19.98,,2076.0,1345.0,2130.0,1.1139433523068367,1.17,,7353.0,20.0,38.0,50.0,-6.026872146400302,-4.896196279044043,0.27,441.0,,2.6148972160331345,
Eu,701.0,28.97,,1800.0,1099.0,,1.146128035678238,1.2,,5244.0,7.9,8.3,18.0,-6.045757490560675,-4.455931955649724,0.15,,,2.2227164711475833,
Gd,1938.0,19.9,,3523.0,1585.0,2680.0,1.041392685158225,1.2,,7901.0,22.0,38.0,55.0,-5.882728704344236,-5.026872146400302,0.26,,1.083,2.7558748556724915,
Tb,1874.0,19.3,,3503.0,1629.0,2620.0,1.041392685158225,1.1,,8219.0,22.0,38.7,56.0,-5.939302159646388,-4.987162775294828,0.26,677.0,,2.9360107957152097,
Dy,1160.0,19.01,,2840.0,1680.0,2710.0,1.041392685158225,1.22,,8551.0,25.0,41.0,61.0,-6.033389013318065,-5.00436480540245,0.25,500.0,,2.7323937598229686,
Ho,1259.0,18.74,,2993.0,1734.0,2760.0,1.2041199826559248,1.23,,8795.0,26.0,40.0,65.0,-6.089375595110798,-4.950781977329818,0.23,746.0,,2.682145076373832,
Er,1371.0,18.46,,3141.0,1802.0,2830.0,1.1760912590556813,1.24,,9066.0,28.0,44.0,70.0,-6.0655015487564325,-4.913640169325252,0.24,814.0,,2.7701152947871015,
Tm,405.0,19.1,,2223.0,1818.0,,1.2304489213782739,1.25,,9321.0,31.0,45.0,74.0,-6.1700533040583645,-4.876148359032914,0.21,471.0,,2.716003343634799,
Yb,372.0,24.84,,1469.0,1097.0,1590.0,1.591064607026499,1.1,,6570.0,9.9,31.0,24.0,-6.6020599913279625,-4.580044251510242,0.21,343.0,,2.3138672203691533,
Lu,1750.0,17.78,,3675.0,1925.0,,1.2041199826559248,1.27,,9841.0,27.0,48.0,69.0,-6.236572006437063,-5.00436480540245,0.26,893.0,0.022,3.0644579892269186,
Hf,2370.0,13.44,,4876.0,2506.0,3010.0,1.3617278360175928,1.3,5.5,13310.0,30.0,110.0,78.0,-6.468521082957745,-5.229147988357856,0.37,1700.0,0.128,3.24551266781415,
Ta,2441.0,10.85,,5731.0,3290.0,3400.0,1.7558748556724915,1.5,6.5,16650.0,69.0,200.0,186.0,-6.8696662315049934,-5.200659450546418,0.34,800.0,4.47,2.9410142437055695,78.0
W,2133.0,9.47,,5828.0,3695.0,5174.0,2.230448921378274,2.36,7.5,19250.0,161.0,310.0,411.0,-7.267606240177032,-5.346787486224656,0.28,2570.0,0.015,3.5352941200427703,62.0
Re,2410.0,8.86,,5869.0,3459.0,4700.0,1.6812412373755872,1.9,7.0,21020.0,178.0,370.0,463.0,-6.7447274948966935,-5.2076083105017466,0.3,1320.0,1.7,3.3891660843645326,
Os,1979.0,8.42,,5285.0,3306.0,4940.0,1.9444826721501687,2.2,7.0,22610.0,222.0,,,-7.0915149811213505,-5.292429823902063,0.25,3920.0,0.66,,
